FlightDateTime,Flight,Model,Variable,MEAN,MAX,MIN,MEDIAN,STD,SRC_WT_MEAN
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,r_bH,7.94769784307294,11.46085950012317,1.5521136257605483,7.787690515144542,1.6120228478060445,5.578140894972404
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,r_H,63.03546428061619,66.54862593766651,56.639880063303885,62.87545695268788,1.6120228478060108,43.76477319177268
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,L,-18.419722699893725,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,H,113.08798267385657,332.86479486055595,16.09042083459073,112.13487317138961,19.624528887625157,76.39585856020426
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,LE,263.6952882804394,390.85955850384477,0.0,264.51141098967,26.263395124991696,185.34419849624732
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,ET,0.3848732467478572,0.5704743087552805,0.0,0.38606440870943054,0.03833241852098839,0.27051686780715656
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,EF,0.6988701400199635,0.9601713101723037,0.0,0.7023083867299638,0.057221055722682664,0.4906780522108637
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,zeta,-4.058963483220899,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,u_star,0.27458440275304324,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,Psi_M,1.217539145203691,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,Psi_H,2.788295426951321,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,r_aH,61.313066595133364,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,r_bH,8.340135490328075,12.026768374184146,1.6287531547905836,8.172227396598625,1.691620545932618,5.853575685285764
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,r_H,69.6532020854614,73.33983496931751,62.94181974992395,69.485293991732,1.6916205459325926,48.35556261394656
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,L,-14.854711834870752,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,H,102.34314520865415,301.05689797220754,14.570925200067542,101.49014671665469,17.77233591441488,69.14084826965785
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,LE,274.44012015193806,392.5259017265047,6.493076593119326,275.167362022905,24.465061024591165,192.59920878679372
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,ET,0.40055573525612653,0.5729063997133084,0.009476890869277289,0.4016171722725994,0.035707681884733604,0.2811058297257409
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Brutsaert,EF,0.7274767370579138,0.9639402476605222,0.021879938002510854,0.7305625502691754,0.05183935717282286,0.509908519907484
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,zeta,,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,u_star,,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,Psi_M,,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,Psi_H,,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,r_aH,,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,r_bH,,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,r_H,151.2633514404297,1046.072265625,19.40081214904785,149.4574737548828,69.6609878540039,128.84231145076308
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,L,,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,H,48.14868927001953,52.888065338134766,27.20453453063965,48.501312255859375,23.779878616333008,42.966079395407554
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,LE,323.71282958984375,355.5756530761719,182.9008026123047,326.0827331542969,134.51930236816406,288.86839776890696
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,ET,0.4724704921245575,0.518976092338562,0.2669506371021271,0.4759300649166107,0.1910703182220459,0.4216143488187788
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Bowen,EF,0.8705200552940369,0.8705195784568787,0.8705194592475891,0.8705195188522339,0.37156060338020325,0.7727288657614818
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,zeta,0.0,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,u_star,0.3753949050442694,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,Psi_M,0.0,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,Psi_H,0.0,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,r_aH,62.92561247633346,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,r_bH,5.771229967735759,10.222559884050284,1.302590638424769,5.498387955780213,1.4605093495809296,4.990910955753777
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,r_H,68.69684244406912,73.14817236038374,64.22820311475823,68.42400043211367,1.4605093495810093,57.76946349061463
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,L,-31.946415040174493,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,H,126.28672399377422,333.330783376048,26.06645547182208,126.34274682184002,16.267141776953988,107.3297791623238
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,LE,260.04265217851577,393.41054266474833,0.0,259.9463720339812,22.937428089833357,215.98513326808808
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,ET,0.37980344863496207,0.5745929738128097,0.0,0.3796628273537115,0.03350109767898015,0.31545555231757916
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Neutral,EF,0.6723112612829332,0.9364500104935192,0.0,0.6728200644945542,0.04741874611606392,0.5599561580440168
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,zeta,-1.4813856967989976,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,u_star,0.45718765004577283,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,Psi_M,1.3244139160475585,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,Psi_H,2.1872423342776055,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,r_aH,40.00329864168876,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,r_bH,5.2462032589757,9.292581872251986,1.1840899237457196,4.998182531971416,1.327642279439281,4.536872290259039
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,r_H,45.249501900664505,49.295880513940745,41.187388565434475,45.001481173660174,1.3276422794393097,38.089445174983375
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,L,-40.69144597534374,,,,,
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,H,191.73223031558257,497.2748889597746,39.031122874311826,191.76591126888823,24.470261595170246,162.80517944116613
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,LE,194.598336667547,378.75396397075286,0.0,194.38787877417099,30.66896334010825,160.50973298924578
2022-01-18 11:30:00-08:00,2022-01-18 11:11:35.200000-08:00,Dyer,ET,0.2842192184466112,0.5531864119025436,0.0,0.28391183566526024,0.04479333657400888,0.2344313504653185
